userId,movieId,tag,timestamp
10,260,good vs evil,1430666558
10,260,Harrison Ford,1430666505
10,260,sci-fi,1430666538
14,1221,Al Pacino,1311600756
14,1221,mafia,1311600746
14,58559,Atmospheric,1311530439
14,58559,Batman,1311530391
14,58559,comic book,1311530398
14,58559,dark,1311530428
14,58559,Heath Ledger,1311530404
14,58559,imdb top 250,1311530451
14,58559,Michael Caine,1311530407
14,58559,Morgan Freeman,1311530400
14,58559,Oscar (Best Supporting Actor),1311530432
14,58559,psychology,1311530417
14,58559,superhero,1311530388
14,58559,vigilante,1311530423
14,58559,violence,1311530444
16,57183,family,1491353765
26,296,crime,1429398919
26,296,cult film,1429398919
26,296,quentin tarantino,1429398919
37,47,Kevin Spacey,1578167238
37,47,Morgan Freeman,1578167242
37,47,powerful ending,1578167246
37,47,twist ending,1578167240
37,165,action,1578164108
37,293,Gary Oldman,1578165432
37,293,great acting,1578165426
37,293,Jean Reno,1578165421
37,293,Natalie Portman,1578165423
37,480,classic,1578166087
37,480,Steven Spielberg,1578166078
37,527,acting,1578163193
37,527,John Williams,1578163155
37,527,moving,1578163178
37,541,classic,1578164881
37,541,dystopia,1578164862
37,541,sci-fi,1578164865
37,589,action,1578164676
37,589,classic,1578164653
37,593,acting,1578163273
37,593,Anthony Hopkins,1578163262
37,1036,action,1578164028
37,1036,Alan Rickman,1578164033
37,1036,classic,1578164076
37,1036,tense,1578164054
37,1127,acting,1578166472
37,1127,Ed Harris,1578166458
37,1127,James Cameron,1578166452
37,1196,classic,1578164234
37,1196,John Williams,1578164217
37,1214,classic,1578163903
37,1214,horror,1578163885
37,1214,Ridley Scott,1578163925
37,1214,sci-fi,1578163875
37,1214,set design,1578163944
37,1214,suspense,1578163873
37,1240,horror,1578164630
37,1653,dystopia,1578164445
37,2329,powerful ending,1580769461
37,2391,moving,1578165696
37,2571,action,1578163429
37,2571,classic,1578163514
37,2571,distopia,1578163387
37,2571,sci-fi,1578163413
37,3020,Michael Douglas,1578165772
37,3578,Hans Zimmer,1578166176
37,3578,heroism,1578166189
37,3578,Joaquin Phoenix,1578166175
37,3578,Ridley Scott,1578166193
37,3578,Russell Crowe,1578166167
37,3578,strong score,1578166185
37,4022,stranded,1578165625
37,4022,survival,1578165627
37,4022,Tom Hanks,1578165623
37,4226,Christopher Nolan,1578164928
37,4226,nonlinear,1578164923
37,4993,beautifully filmed,1578166639
37,4993,Christopher Lee,1578166836
37,4993,epic adventure,1578166781
37,4993,fantasy,1578166774
37,4993,great soundtrack,1578166642
37,4993,Ian McKellen,1578166787
37,4993,music,1578166772
37,4993,Sean Bean,1578166842
37,5418,Matt Damon,1578165020
37,5952,atmospheric,1578167715
37,5952,fantasy,1578167691
37,6365,over the top,1578168995
37,6365,sequel,1578168986
37,6934,over the top,1578169036
37,6934,sequel,1578169025
37,7153,epic,1578167749
37,7153,fantasy,1578167744
37,7153,great soundtrack,1578167755
37,7361,bittersweet,1578165048
37,7458,Brad Pitt,1578168374
37,7458,historical epic,1578168382
37,8368,Alan Rickman,1578168118
37,8368,fantasy,1578168115
